Date,NOK,TSLA,PEP,AMZN,GPS,HSBC
2012-01-03,5.139999866485596,5.616000175476074,66.4000015258789,179.02999877929688,18.549999237060547,39.22999954223633
2012-01-04,5.079999923706055,5.541999816894531,66.73999786376953,177.50999450683594,18.8799991607666,39.25
2012-01-05,5.409999847412109,5.423999786376953,66.22000122070312,177.61000061035156,18.270000457763672,38.79999923706055
2012-01-06,5.239999771118164,5.381999969482422,65.38999938964844,182.61000061035156,18.0,38.310001373291016
2012-01-09,5.230000019073486,5.449999809265137,65.7300033569336,178.55999755859375,18.059999465942383,38.2599983215332
2012-01-10,5.389999866485596,5.52400016784668,65.66000366210938,179.33999633789062,18.139999389648438,39.0
2012-01-11,5.320000171661377,5.645999908447266,65.01000213623047,178.89999389648438,17.940000534057617,38.54999923706055
2012-01-12,5.309999942779541,5.650000095367432,64.62000274658203,175.92999267578125,18.139999389648438,38.65999984741211
2012-01-13,5.210000038146973,4.558000087738037,64.4000015258789,178.4199981689453,18.260000228881836,38.599998474121094
2012-01-17,5.639999866485596,5.320000171661377,64.6500015258789,181.66000366210938,18.260000228881836,39.45000076293945
2012-01-18,5.670000076293945,5.361999988555908,64.8499984741211,189.44000244140625,18.639999389648438,40.119998931884766
2012-01-19,5.760000228881836,5.3520002365112305,65.91000366210938,194.4499969482422,19.3700008392334,41.369998931884766
2012-01-20,5.610000133514404,5.320000171661377,66.27999877929688,190.92999267578125,18.6299991607666,42.400001525878906
2012-01-23,5.730000019073486,5.354000091552734,66.0999984741211,186.08999633789062,18.68000030517578,42.310001373291016
2012-01-24,5.269999980926514,5.484000205993652,66.19999694824219,187.0,18.6299991607666,42.22999954223633
2012-01-25,5.269999980926514,5.593999862670898,66.69999694824219,187.8000030517578,19.0,42.02000045776367
2012-01-26,5.400000095367432,5.788000106811523,66.5199966430664,193.32000732421875,18.780000686645508,42.18000030517578
2012-01-27,5.079999923706055,5.866000175476074,65.80999755859375,195.3699951171875,18.93000030517578,42.59000015258789
2012-01-30,5.050000190734863,5.914000034332275,65.41000366210938,192.14999389648438,18.829999923706055,41.470001220703125
2012-01-31,5.039999961853027,5.814000129699707,65.66999816894531,194.44000244140625,18.979999542236328,41.83000183105469
2012-02-01,5.099999904632568,5.915999889373779,66.37999725341797,179.4600067138672,19.450000762939453,42.77000045776367
2012-02-02,5.019999980926514,6.050000190734863,66.4000015258789,181.72000122070312,21.520000457763672,43.16999816894531
2012-02-03,5.119999885559082,6.230000019073486,66.66000366210938,187.67999267578125,21.709999084472656,44.34000015258789
2012-02-06,5.039999961853027,6.360000133514404,66.5199966430664,183.13999938964844,21.670000076293945,44.06999969482422
2012-02-07,5.130000114440918,6.320000171661377,66.76000213623047,184.19000244140625,21.68000030517578,44.459999084472656
2012-02-08,5.210000038146973,6.386000156402588,66.73999786376953,185.47999572753906,21.280000686645508,44.95000076293945
2012-02-09,5.070000171661377,6.515999794006348,64.2699966430664,184.97999572753906,21.40999984741211,44.95000076293945
2012-02-10,4.960000038146973,6.21999979019165,63.95000076293945,185.5399932861328,21.59000015258789,43.939998626708984
2012-02-13,5.099999904632568,6.297999858856201,63.689998626708984,191.58999633789062,21.719999313354492,44.54999923706055
2012-02-14,5.130000114440918,6.633999824523926,63.52000045776367,191.3000030517578,22.34000015258789,44.060001373291016
2012-02-15,5.099999904632568,6.71999979019165,63.06999969482422,184.47000122070312,22.399999618530273,44.900001525878906
2012-02-16,5.210000038146973,6.835999965667725,62.72999954223633,179.92999267578125,22.450000762939453,45.41999816894531
2012-02-17,5.489999771118164,6.99399995803833,62.68000030517578,182.5,22.719999313354492,45.810001373291016
2012-02-21,5.579999923706055,6.900000095367432,63.13999938964844,182.25999450683594,22.829999923706055,45.650001525878906
2012-02-22,5.559999942779541,6.843999862670898,63.099998474121094,180.5800018310547,22.979999542236328,45.18000030517578
2012-02-23,5.539999961853027,6.906000137329102,63.130001068115234,178.88999938964844,23.520000457763672,45.34000015258789
2012-02-24,5.800000190734863,6.75,63.310001373291016,179.1300048828125,22.56999969482422,45.599998474121094
2012-02-27,5.440000057220459,6.723999977111816,63.31999969482422,178.52999877929688,23.06999969482422,43.95000076293945
2012-02-28,5.369999885559082,6.76200008392334,63.31999969482422,183.8000030517578,23.709999084472656,44.7599983215332
2012-02-29,5.289999961853027,6.682000160217285,62.939998626708984,179.69000244140625,23.360000610351562,44.41999816894531
2012-03-01,5.289999961853027,6.881999969482422,62.54999923706055,180.0399932861328,25.049999237060547,45.29999923706055
2012-03-02,5.230000019073486,6.808000087738037,62.52000045776367,179.3000030517578,24.40999984741211,45.060001373291016
2012-03-05,5.170000076293945,6.754000186920166,62.790000915527344,180.25999450683594,24.610000610351562,44.45000076293945
2012-03-06,4.960000038146973,6.622000217437744,62.279998779296875,181.08999633789062,24.270000457763672,43.15999984741211
2012-03-07,5.059999942779541,6.624000072479248,62.619998931884766,183.77000427246094,24.520000457763672,43.47999954223633
2012-03-08,5.079999923706055,6.613999843597412,62.95000076293945,187.63999938964844,24.889999389648438,44.029998779296875
2012-03-09,5.059999942779541,6.947999954223633,63.150001525878906,184.32000732421875,25.0,43.720001220703125
2012-03-12,5.0,7.202000141143799,63.939998626708984,183.38999938964844,25.09000015258789,43.59000015258789
2012-03-13,5.050000190734863,7.2179999351501465,64.33999633789062,184.58999633789062,25.450000762939453,45.36000061035156
2012-03-14,4.940000057220459,7.058000087738037,64.05999755859375,182.25999450683594,25.440000534057617,45.06999969482422
2012-03-15,5.21999979019165,7.0,64.16999816894531,184.42999267578125,25.639999389648438,45.189998626708984
